Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000007237.19	1178	926	368	1010	5589	2340	2683	2128
ENSG00000007255.10	356	247	314	586	448	630	505	639
ENSG00000007264.15	56	204	135	210	402	742	209	788
ENSG00000007306.15	0	53	6	5	0	3	7	2
ENSG00000007312.14	46	113	7	208	112	224	58	122
ENSG00000007314.12	15	81	14	20	26	23	2	4
ENSG00000007341.19	263	322	348	212	391	372	310	296
ENSG00000007350.18	0	6	0	1	11	10	27	34
ENSG00000007372.25	82	1	0	1	0	3	0	4
ENSG00000007376.8	951	668	1064	536	414	695	289	486
ENSG00000007384.15	2008	2784	2265	1508	1239	2119	579	1843
ENSG00000007392.17	1400	4156	1908	1161	1714	3848	800	3008
ENSG00000007402.12	65	322	57	1124	8362	2216	9166	5716
ENSG00000007516.15	116	340	1247	183	131	395	1428	496
ENSG00000007520.4	882	664	1568	741	1292	1927	1020	1320
ENSG00000007541.17	2195	1724	1991	797	1496	1637	1307	1678
ENSG00000007545.16	615	644	519	421	806	958	466	914
ENSG00000007866.22	3529	1253	815	625	1348	1073	1094	1221
ENSG00000007908.16	203	376	29	157	4835	1396	6116	6010
ENSG00000007923.17	1341	1113	1039	738	922	1056	559	692
ENSG00000007933.13	204	263	352	341	1106	2241	980	832
ENSG00000007944.16	686	1428	838	2082	1704	2106	1913	1700
ENSG00000007952.18	1	11	131	12	16	27	22	30
ENSG00000007968.7	107	232	361	147	42	28	34	41
ENSG00000008018.9	3176	3094	3141	2947	3497	4819	2230	3719
ENSG00000008056.14	25	63	116	6	38	24	21	40
ENSG00000008083.14	749	969	415	698	1075	804	624	722
ENSG00000008086.13	319	394	245	805	1404	923	865	871
ENSG00000008118.10	41	50	10	17	82	57	19	75
ENSG00000008128.23	111	85	105	34	22	126	25	129
ENSG00000008130.15	3889	2448	4266	2151	3349	2395	1979	2102
ENSG00000008196.13	23	13	1163	1	0	0	14	5
ENSG00000008197.5	0	3	1232	75	0	0	0	0
ENSG00000008226.20	185	43	49	264	84	233	651	617
ENSG00000008256.17	1447	2494	2101	3516	2716	3231	1359	2088
ENSG00000008277.15	145	176	155	58	229	356	245	175
ENSG00000008282.10	914	1363	969	3011	3752	4597	3001	2895
ENSG00000008283.16	4208	3614	2198	2348	3007	3353	2551	2705
ENSG00000008294.22	2013	3266	2757	4646	5690	4921	4299	4142
ENSG00000008300.17	1821	484	880	321	93	85	47	96
ENSG00000008311.16	286	1154	154	2564	2215	2434	1061	2515
ENSG00000008323.16	2404	187	67	83	131	144	148	160
ENSG00000008324.12	207	384	223	345	377	530	285	432
ENSG00000008382.16	181	233	471	538	294	387	291	371
ENSG00000008394.13	4379	3074	3628	5626	3695	1091	4012	2411
ENSG00000008405.12	577	1016	698	625	1410	1062	1200	903
ENSG00000008438.5	3	1	0	3	20	8	9	20
ENSG00000008441.19	2365	1910	2151	2773	8546	5278	5828	4143
ENSG00000008513.17	655	1974	1122	2576	5570	3390	2807	3558
ENSG00000008516.19	74	129	58	92	826	221	384	557
ENSG00000008517.19	4487	4062	6718	3213	4559	4555	2630	7703
ENSG00000008710.20	2327	2740	2101	1404	4868	4238	3257	3359
ENSG00000008735.14	23	201	371	298	126	144	223	123
ENSG00000008838.21	2662	2118	2533	1475	4594	2368	3915	2983
ENSG00000008853.18	539	771	467	1213	3987	1685	2806	3090
ENSG00000008869.12	596	1145	840	1523	1774	1884	1057	1367
ENSG00000008952.17	2234	3389	3969	6367	6723	7348	5518	4599
ENSG00000008988.11	11165	11404	9190	12325	16359	24302	15346	19301
ENSG00000009307.17	3095	13493	20010	14781	19230	24393	15615	16786
