"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000071991.9",56.3167287280227,-6.12505179195377,0.811852936150893,-7.54453364545738,4.5390884034024e-14,4.56222885408641e-12
"ENSG00000236485.2",98.2056836636524,-9.19008214663259,1.22141799057064,-7.52410904176959,5.30810322270005e-14,5.25784292165419e-12
"ENSG00000197959.15",264.667461580005,-2.23007819514163,0.297216718308644,-7.50320576794005,6.22756763036567e-14,6.13894455254893e-12
"ENSG00000290677.2",116.481876339089,-7.11963326169375,0.949714007275991,-7.49660761781811,6.54906497723545e-14,6.39438229967789e-12
"ENSG00000136732.16",1491.45332348976,-2.43227620036531,0.325114715298725,-7.48128609967859,7.35987550913512e-14,7.05172371211712e-12
"ENSG00000163687.14",785.590620434246,-6.3354611700084,0.850222992532673,-7.45152886437017,9.22647002521539e-14,8.75831210171372e-12
"ENSG00000161649.14",206.676643702771,-6.14888248935902,0.826098556141427,-7.44327955017796,9.82159399101317e-14,9.2802748014624e-12
"ENSG00000135363.12",1317.98416069955,-3.07055270762086,0.413434018627974,-7.42694739492127,1.11132531733061e-13,1.04525753699756e-11
"ENSG00000223803.1",121.562948657116,-2.36536562031363,0.319136660684692,-7.41176402372217,1.24630377699874e-13,1.16155512016282e-11
"ENSG00000101282.9",240.690755445663,-5.52383219520978,0.747035491252611,-7.39433702935259,1.42115535148298e-13,1.31852349895055e-11
"ENSG00000169083.18",247.831441068043,-2.70739893849674,0.366610390523889,-7.38494873161627,1.52512143859538e-13,1.4086076566198e-11
"ENSG00000255399.7",268.812600988478,-2.91331209618202,0.39531314750217,-7.36963117617036,1.71100735517881e-13,1.57320604531778e-11
"ENSG00000233968.10",63.863953822391,-3.6548099277833,0.497400855162846,-7.34781593125074,2.0147167845155e-13,1.84418539954044e-11
"ENSG00000103175.11",433.379242240809,-4.51085745036368,0.614511402780815,-7.34055939393629,2.12702955239018e-13,1.92126052608847e-11
"ENSG00000162367.12",403.175582447205,-4.0847247284092,0.556902942190378,-7.33471565501774,2.22192717361054e-13,1.99817520911011e-11
"ENSG00000185565.14",751.809576870894,-3.23860086490713,0.442064815521696,-7.32607697150733,2.36987711331739e-13,2.12191966512925e-11
"ENSG00000198756.12",164.053542279947,-2.65286843483996,0.362660790967,-7.31501309465062,2.57356294077474e-13,2.28434348647815e-11
"ENSG00000069535.14",1309.43634689851,-3.14873436716071,0.431210238520814,-7.30208628153601,2.83339466041168e-13,2.48273179987526e-11
"ENSG00000021852.14",126.890920501745,-6.82117145429624,0.936679380818189,-7.28229060443067,3.28199126772653e-13,2.86357229589212e-11
"ENSG00000267280.7",375.277976266872,-4.0182677599173,0.551946276199653,-7.28017912827404,3.33377216137332e-13,2.89642645749147e-11
"ENSG00000139304.16",111.004195479505,-4.98916692545285,0.685482488456907,-7.27832878223335,3.37980826134785e-13,2.92165931277269e-11
"ENSG00000135218.19",3915.5692394493,-4.33862460409425,0.597439626132455,-7.26203019404735,3.81323047413789e-13,3.25776990173847e-11
"ENSG00000176771.18",615.261287072299,-3.97059284949221,0.548284370250862,-7.2418494214517,4.42607112627313e-13,3.75008935426051e-11
"ENSG00000133392.19",6188.94553967234,-4.68686126391576,0.650155113751091,-7.20883549907768,5.64323847201278e-13,4.70361632642886e-11
"ENSG00000135063.20",1022.90998766676,-3.06804393675202,0.426342715901443,-7.19619175447871,6.1917536989333e-13,5.13990760497685e-11
"ENSG00000133121.21",984.242977475745,-1.68834138053089,0.234857023696899,-7.18880514601866,6.53607729557891e-13,5.38215778588554e-11
"ENSG00000188001.10",220.981540677251,-1.88242081509124,0.261847420747514,-7.18899888231613,6.52681083478834e-13,5.38215778588554e-11
"ENSG00000259417.3",150.423652136509,-5.22246996841735,0.726589505360257,-7.18764850013619,6.59166931119273e-13,5.40622350226783e-11
"ENSG00000165323.16",132.113456804026,-3.43812223868932,0.478625214969517,-7.18332869050429,6.8034269444185e-13,5.51373383669395e-11
"ENSG00000123119.12",227.482555558993,-5.80461864357108,0.808238523606529,-7.18181387552485,6.87925344785578e-13,5.53145932136607e-11
"ENSG00000117834.13",213.730608310631,-4.5971073781439,0.642230825323097,-7.15802978754743,8.18447738844952e-13,6.50443892917709e-11
"ENSG00000267207.2",57.6229102957621,-3.84755929271204,0.538778351153255,-7.14126557697862,9.24754815911265e-13,7.2648171438485e-11
"ENSG00000172159.16",296.145275857699,-3.38640624189334,0.474679777192207,-7.13408576603868,9.74325672694211e-13,7.56726272459171e-11
"ENSG00000133800.9",2066.06781893409,-4.88885244266487,0.686926573859377,-7.11699420099256,1.10306125482778e-12,8.49919984553619e-11
